Tanggal;Maskapai;Rute;Jenis Tiket;Jumlah Penjualan;Harga (USD)
1 Januari 2024;Garuda Indonesia;Jakarta - Surabaya;Domestik;120;100
1 Januari 2024;Lion Air;Jakarta - Denpasar;Domestik;95;90
1 Januari 2024;AirAsia;Kuala Lumpur - Jakarta;Internasional;80;150
1 Januari 2024;Singapore Airlines;Singapore - Bali;Internasional;65;200
1 Januari 2024;Qatar Airways;Doha - Jakarta;Internasional;45;300
1 Januari 2024;Citilink;Jakarta - Medan;Domestik;110;80
1 Januari 2024;Emirates;Dubai - Jakarta;Internasional;55;250
1 Januari 2024;Thai Airways;Bangkok - Denpasar;Internasional;70;180
1 Januari 2024;Batik Air;Jakarta - Makassar;Domestik;85;95
1 Januari 2024;Cathay Pacific;Hong Kong - Jakarta;Internasional;60;280
